a,b,2026-04-28,Connect-4
b,a,2026-04-28,Connect-4
keshav,arnav,2026-04-28,Connect-4
None,None,2026-04-28,Connect-4
None,None,2026-04-28,Othello
b,a,2026-04-28,TicTacToe
a,b,2026-04-28,TicTacToe
a,b,2026-04-28,Othello
a,b,2026-04-28,Othello
a,b,2026-04-28,Othello
a,b,2026-04-28,Othello
b,a,2026-04-28,Connect-4
a,b,2026-04-28,Othello
Draw,Draw,2026-04-28,TicTacToe
a,b,2026-04-28,Othello
a,b,2026-04-28,Connect-4
b,a,2026-04-28,Othello
Draw,Draw,2026-04-28,TicTacToe
None,None,2026-04-28,Connect-4
None,None,2026-04-28,Othello
Draw,Draw,2026-04-28,TicTacToe
None,None,2026-04-28,Connect-4
None,None,2026-04-28,TicTacToe
a,b,2026-04-29,Connect-4
a,b,2026-04-29,TicTacToe
None,None,2026-04-29,TicTacToe
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
b,a,2026-04-29,Connect-4
b,a,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,TicTacToe
a,b,2026-04-29,TicTacToe
a,b,2026-04-29,Connect-4
a,b,2026-04-29,TicTacToe
a,b,2026-04-29,Connect-4
a,b,2026-04-29,TicTacToe
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,Connect-4
a,b,2026-04-29,TicTacToe
Keshav,Arnav,2026-04-29,Connect-4
Keshav,Arnav,2026-04-30,TicTacToe
Keshav,Arnav,2026-04-30,Connect-4
Arnav,Keshav,2026-04-30,Connect-4
Keshav,Arnav,2026-04-30,Connect-4
Arnav,Keshav,2026-04-30,TicTacToe
Arnav,Keshav,2026-04-30,Connect-4
QUIT,QUIT,2026-04-30,TicTacToe
Arnav,Keshav,2026-04-30,Connect-4
Arnav,Keshav,2026-04-30,Connect-4
Arnav,Keshav,2026-04-30,Connect-4
Arnav,Keshav,2026-04-30,TicTacToe


